epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.811,2.22408,1.37257,1.02195,0.60245,0.45021,0.48935,0.19409,3.23901,4.25617,0.94496,0.000666226,0.000666226,0.000666226
2,653.575,2.14207,1.2341,1.00143,0.66709,0.52504,0.55572,0.2177,3.41756,3.5381,0.97124,0.00120094,0.00120094,0.00120094
3,980.895,2.0418,1.13682,0.98128,0.62952,0.48485,0.51291,0.19691,3.37309,3.17701,0.96853,0.00160365,0.00160365,0.00160365
4,1297.96,1.95021,1.05279,0.96116,0.66759,0.48356,0.51862,0.19649,2.37535,2.5075,0.85078,0.001406,0.001406,0.001406
5,1613.33,1.86559,0.9815,0.94242,0.67412,0.49578,0.54629,0.22074,3.01693,3.32431,0.91682,0.001208,0.001208,0.001208
6,1923.03,1.77771,0.91568,0.92839,0.67809,0.48299,0.52909,0.20095,2.71112,2.83751,0.90369,0.00101,0.00101,0.00101
7,2232.64,1.70923,0.86492,0.91323,0.68425,0.51485,0.55259,0.21029,2.84046,3.02299,0.91506,0.000812,0.000812,0.000812
8,2542.82,1.63322,0.81653,0.90138,0.70242,0.50324,0.55355,0.2138,2.81322,3.10707,0.91091,0.000614,0.000614,0.000614
9,2853.27,1.56246,0.77265,0.89002,0.68902,0.47046,0.51845,0.19218,2.93614,3.37627,0.92901,0.000416,0.000416,0.000416
10,3163.04,1.48851,0.73042,0.87974,0.67912,0.46164,0.51087,0.19041,2.9225,3.48032,0.93463,0.000218,0.000218,0.000218
