epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2563.31,2.06334,1.33552,1.11834,0.68159,0.49123,0.56404,0.24685,1.93418,1.20125,1.08985,0.0005941,0.0005941,0.0005941
43,2623.32,2.0559,1.32985,1.11834,0.6931,0.48708,0.56456,0.24719,1.93165,1.20208,1.09182,0.0005842,0.0005842,0.0005842
44,2682.44,2.05247,1.32315,1.11355,0.67569,0.49009,0.56153,0.24053,1.96483,1.20588,1.09924,0.0005743,0.0005743,0.0005743
45,2742.06,2.03671,1.3064,1.11913,0.68513,0.49696,0.56825,0.2482,1.9361,1.19305,1.09245,0.0005644,0.0005644,0.0005644
46,2801.78,2.04854,1.31452,1.11367,0.69227,0.49066,0.56696,0.24867,1.92495,1.1923,1.08895,0.0005545,0.0005545,0.0005545
47,2863.55,2.0589,1.3319,1.1191,0.68245,0.48744,0.56402,0.2451,1.93466,1.19491,1.09245,0.0005446,0.0005446,0.0005446
48,2922.65,2.0454,1.31562,1.11154,0.68496,0.49371,0.57062,0.24829,1.93376,1.1957,1.0878,0.0005347,0.0005347,0.0005347
49,2984.92,2.05014,1.31207,1.11223,0.67774,0.49016,0.56252,0.24588,1.93441,1.20138,1.09084,0.0005248,0.0005248,0.0005248
50,3044.72,2.04779,1.30808,1.11398,0.68669,0.50118,0.5733,0.25019,1.91826,1.19002,1.08555,0.0005149,0.0005149,0.0005149
51,3104.36,2.03119,1.30111,1.10883,0.68732,0.49127,0.56768,0.24801,1.9297,1.19058,1.08753,0.000505,0.000505,0.000505
52,3164.23,2.03679,1.29919,1.10767,0.69507,0.49481,0.57184,0.25221,1.91853,1.18525,1.08733,0.0004951,0.0004951,0.0004951
53,3229.65,2.03896,1.30767,1.11074,0.69587,0.49273,0.57149,0.25064,1.92512,1.18812,1.08755,0.0004852,0.0004852,0.0004852
54,3295.55,2.03506,1.29493,1.11402,0.68324,0.49735,0.57001,0.24983,1.92908,1.19295,1.08714,0.0004753,0.0004753,0.0004753
55,3354.74,2.02744,1.29593,1.10617,0.69684,0.49388,0.57359,0.2518,1.92026,1.18525,1.08463,0.0004654,0.0004654,0.0004654
56,3414.02,2.03197,1.29384,1.10189,0.70898,0.49217,0.57391,0.25362,1.9216,1.17583,1.08762,0.0004555,0.0004555,0.0004555
57,3473.71,2.0295,1.29131,1.10579,0.69116,0.50025,0.5753,0.25233,1.92444,1.17782,1.0864,0.0004456,0.0004456,0.0004456
58,3532.97,2.02294,1.28763,1.1074,0.68596,0.5057,0.57755,0.25158,1.92593,1.18039,1.08564,0.0004357,0.0004357,0.0004357
59,3598.59,2.00731,1.26449,1.11468,0.69364,0.49824,0.57571,0.25333,1.92096,1.18066,1.08584,0.0004258,0.0004258,0.0004258
60,3658.76,2.02286,1.27892,1.09938,0.69389,0.50426,0.5796,0.25407,1.91502,1.17827,1.08432,0.0004159,0.0004159,0.0004159
61,3718.46,2.02844,1.28525,1.10401,0.69374,0.49882,0.57607,0.25359,1.91432,1.17795,1.08388,0.000406,0.000406,0.000406
62,3778.08,2.01663,1.28353,1.10257,0.6955,0.49593,0.57338,0.2513,1.9196,1.18123,1.08526,0.0003961,0.0003961,0.0003961
63,3837.97,2.01389,1.26956,1.108,0.68564,0.50308,0.57644,0.25287,1.91706,1.17651,1.08488,0.0003862,0.0003862,0.0003862
64,3900.3,2.01834,1.26987,1.10458,0.70515,0.50018,0.57995,0.25511,1.91729,1.1714,1.08508,0.0003763,0.0003763,0.0003763
65,3959.94,2.01145,1.26402,1.09825,0.69135,0.50598,0.57789,0.25424,1.91978,1.17017,1.08378,0.0003664,0.0003664,0.0003664
66,4019.96,2.01223,1.27141,1.1008,0.69734,0.50326,0.57999,0.25451,1.91902,1.1727,1.08434,0.0003565,0.0003565,0.0003565
67,4082.58,1.99997,1.25942,1.09807,0.68906,0.50498,0.57844,0.25504,1.91501,1.16693,1.08462,0.0003466,0.0003466,0.0003466
68,4146.38,2.00337,1.25846,1.10385,0.70022,0.50097,0.57938,0.25501,1.91656,1.16591,1.0849,0.0003367,0.0003367,0.0003367
69,4211.18,1.99015,1.24791,1.0983,0.70319,0.49839,0.57875,0.25578,1.91645,1.16547,1.08442,0.0003268,0.0003268,0.0003268
70,4270.45,2.0104,1.26471,1.09691,0.7093,0.50054,0.5834,0.25692,1.91163,1.16561,1.08311,0.0003169,0.0003169,0.0003169
71,4329.89,1.99629,1.25448,1.09563,0.70119,0.50229,0.58118,0.25582,1.91831,1.16681,1.08403,0.000307,0.000307,0.000307
72,4389.55,1.99883,1.25213,1.09525,0.70587,0.50118,0.58185,0.25785,1.91286,1.16144,1.08476,0.0002971,0.0002971,0.0002971
73,4448.88,1.99086,1.24971,1.09689,0.70391,0.50569,0.58351,0.25782,1.91002,1.16173,1.08205,0.0002872,0.0002872,0.0002872
74,4511.56,1.99193,1.24299,1.08905,0.70997,0.50083,0.58296,0.25824,1.91214,1.16076,1.08237,0.0002773,0.0002773,0.0002773
75,4571.41,1.98951,1.23899,1.09258,0.71016,0.49817,0.5823,0.25742,1.91483,1.16127,1.08317,0.0002674,0.0002674,0.0002674
76,4630.78,1.98302,1.24158,1.09612,0.70078,0.50268,0.58193,0.25701,1.91247,1.16351,1.08176,0.0002575,0.0002575,0.0002575
77,4693.15,1.97231,1.23077,1.09009,0.70016,0.50354,0.58324,0.2576,1.90978,1.1599,1.08114,0.0002476,0.0002476,0.0002476
